Name,Full Name,Owner,License,Description,Language,Stars,Forks,Open Issues,Created At,Updated At,GitHub URL
awesome-machine-learning,josephmisiti/awesome-machine-learning,josephmisiti,NOASSERTION,"A curated list of awesome Machine Learning frameworks, libraries and software.",Python,74054,15610,25,2014-07-15 19:11:19+00:00,2026-08-18 11:27:04+00:00,https://github.com/josephmisiti/awesome-machine-learning
MachineLearning,wepe/MachineLearning,wepe,Unknown,Basic Machine Learning and Deep Learning,Python,5747,3206,50,2014-12-05 14:53:17+00:00,2026-08-18 08:09:56+00:00,https://github.com/wepe/MachineLearning
MachineLearning_Python,lawlite19/MachineLearning_Python,lawlite19,MIT,机器学习算法python实现,Python,8580,2515,10,2016-10-17 15:44:59+00:00,2026-08-18 06:33:54+00:00,https://github.com/lawlite19/MachineLearning_Python
Machine-Learning,Jack-Cherish/Machine-Learning,Jack-Cherish,Unknown,:zap:机器学习实战（Python3）：kNN、决策树、贝叶斯、逻辑回归、SVM、线性回归、树回归,Python,10370,5065,7,2017-03-25 07:32:37+00:00,2026-08-18 03:26:09+00:00,https://github.com/Jack-Cherish/Machine-Learning
machine-learning,udacity/machine-learning,udacity,Unknown,Content for Udacity's Machine Learning curriculum,Jupyter Notebook,4030,6233,0,2016-01-26 18:41:03+00:00,2026-08-17 21:37:20+00:00,https://github.com/udacity/machine-learning
MachineLearningNotebooks,Azure/MachineLearningNotebooks,Azure,MIT,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft,Jupyter Notebook,4424,2574,400,2018-08-17 17:29:14+00:00,2026-08-16 23:55:04+00:00,https://github.com/Azure/MachineLearningNotebooks
homemade-machine-learning,trekhleb/homemade-machine-learning,trekhleb,MIT,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,Jupyter Notebook,24762,4194,31,2018-11-01 04:34:19+00:00,2026-08-18 08:38:14+00:00,https://github.com/trekhleb/homemade-machine-learning
machine_learning_examples,lazyprogrammer/machine_learning_examples,lazyprogrammer,Unknown,A collection of machine learning examples and tutorials.,Python,8911,6404,33,2014-07-31 23:40:45+00:00,2026-08-18 09:26:41+00:00,https://github.com/lazyprogrammer/machine_learning_examples
Machine-Learning-Tutorials,ujjwalkarn/Machine-Learning-Tutorials,ujjwalkarn,CC0-1.0,"machine learning and deep learning tutorials, articles and other resources ",Unknown,18108,3969,47,2015-09-12 14:51:38+00:00,2026-08-18 01:43:01+00:00,https://github.com/ujjwalkarn/Machine-Learning-Tutorials
machine-learning-for-trading,stefan-jansen/machine-learning-for-trading,stefan-jansen,MIT,"Code for Machine Learning for Trading, 3rd edition — from data sourcing to live execution.",Jupyter Notebook,20495,5525,6,2018-05-09 12:33:08+00:00,2026-08-18 09:51:22+00:00,https://github.com/stefan-jansen/machine-learning-for-trading
machine-learning-for-software-engineers,ZuzooVn/machine-learning-for-software-engineers,ZuzooVn,CC-BY-SA-4.0,A complete daily plan for studying to become a machine learning engineer.,Unknown,28861,6148,32,2016-10-09 21:20:25+00:00,2026-08-18 07:44:39+00:00,https://github.com/ZuzooVn/machine-learning-for-software-engineers
machine-learning-zoomcamp,DataTalksClub/machine-learning-zoomcamp,DataTalksClub,Unknown,Learn ML engineering for free in 4 months! Register here 👇🏼,Jupyter Notebook,13933,3092,3,2020-04-17 04:29:23+00:00,2026-08-18 08:48:01+00:00,https://github.com/DataTalksClub/machine-learning-zoomcamp
Machine-learning-learning-notes,Vay-keen/Machine-learning-learning-notes,Vay-keen,Unknown,周志华《机器学习》又称西瓜书是一本较为全面的书籍，书中详细介绍了机器学习领域不同类型的算法(例如：监督学习、无监督学习、半监督学习、强化学习、集成降维、特征选择等)，记录了本人在学习过程中的理解思路与扩展知识点，希望对新人阅读西瓜书有所帮助！,Unknown,7762,1878,28,2018-03-24 06:48:10+00:00,2026-08-18 07:36:00+00:00,https://github.com/Vay-keen/Machine-learning-learning-notes
python-machine-learning-book,rasbt/python-machine-learning-book,rasbt,MIT,"The ""Python Machine Learning (1st edition)""  book code repository and info resource",Jupyter Notebook,12641,4372,13,2015-08-07 20:39:29+00:00,2026-08-17 16:24:50+00:00,https://github.com/rasbt/python-machine-learning-book
MachineLearning,allmachinelearning/MachineLearning,allmachinelearning,Unknown,Machine learning resources,Unknown,3838,979,4,2017-05-09 10:29:21+00:00,2026-08-17 12:40:22+00:00,https://github.com/allmachinelearning/MachineLearning
Machine-Learning-Collection,aladdinpersson/Machine-Learning-Collection,aladdinpersson,MIT,A resource for learning about Machine learning & Deep Learning,Python,8485,2787,119,2020-03-26 07:02:40+00:00,2026-08-17 01:02:10+00:00,https://github.com/aladdinpersson/Machine-Learning-Collection
machine-learning-interview,khangich/machine-learning-interview,khangich,Unknown,"Machine Learning Interviews from FAANG, Snapchat, LinkedIn. I have offers from Snapchat, Coupang, Stitchfix etc. Blog: mlengineer.io.",Unknown,12782,2043,9,2020-08-11 06:26:32+00:00,2026-08-17 10:04:18+00:00,https://github.com/khangich/machine-learning-interview
stanford-cs-229-machine-learning,afshinea/stanford-cs-229-machine-learning,afshinea,MIT,VIP cheatsheets for Stanford's CS 229 Machine Learning,Unknown,20124,4248,20,2018-08-04 23:01:00+00:00,2026-08-18 10:33:03+00:00,https://github.com/afshinea/stanford-cs-229-machine-learning
awesome-production-machine-learning,EthicalML/awesome-production-machine-learning,EthicalML,MIT,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",Unknown,20851,2590,31,2018-08-15 14:28:41+00:00,2026-08-18 08:44:58+00:00,https://github.com/EthicalML/awesome-production-machine-learning
Machine-Learning-with-Python,susanli2016/Machine-Learning-with-Python,susanli2016,Unknown,Python code for common Machine Learning Algorithms,Jupyter Notebook,4591,4762,50,2017-05-26 08:55:48+00:00,2026-08-17 16:41:08+00:00,https://github.com/susanli2016/Machine-Learning-with-Python
